seq,timestamp,stage,stage_description,component,kind,phase,summary
24,2026-05-28T17:14:56.591767+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_analysis_markdown
25,2026-05-28T17:14:56.594261+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_analysis
26,2026-05-28T17:14:56.596568+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_analysis_markdown
27,2026-05-28T17:14:56.599036+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_analysis
28,2026-05-28T17:14:56.601369+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_analysis_markdown
29,2026-05-28T17:14:56.651009+00:00,runtime_logs_collected,Frontend and worker runtime logs were collected after the run.,runtime_log_collector,runtime_observation,,Frontend and worker runtime logs were collected after the run.
30,2026-05-28T17:14:56.659761+00:00,runtime_events_built,Runtime-side observations were transformed into structured runtime events.,runtime_event_builder,runtime_observation,,Runtime-side observations were transformed into structured runtime events.
31,2026-05-28T17:14:56.661469+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_events_jsonl
32,2026-05-28T17:14:56.664182+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_events
33,2026-05-28T17:14:56.667602+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_analysis
34,2026-05-28T17:14:56.669361+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_analysis_markdown
35,2026-05-28T17:14:56.676565+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_hint_alignment_analysis
36,2026-05-28T17:14:56.678309+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_hint_alignment_analysis_markdown
37,2026-05-28T17:14:56.680581+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,synthesis,Artifact written: final_summary
38,2026-05-28T17:14:56.721303+00:00,workspace_artifacts_collected,"Workspace patch, git status, and diff artifacts were collected.",workspace_manager,workspace,,"Workspace patch, git status, and diff artifacts were collected."
39,2026-05-28T17:14:56.725298+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_report
40,2026-05-28T17:14:56.727299+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_report_markdown
41,2026-05-28T17:14:56.743514+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_report_table
42,2026-05-28T17:14:56.749144+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_values_index
43,2026-05-28T17:14:56.750830+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_values_task_input
44,2026-05-28T17:14:56.752969+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_values_formatted_prompt
45,2026-05-28T17:14:56.755217+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_values_final_model_request
46,2026-05-28T17:14:56.757617+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_values_system_context
47,2026-05-28T17:14:56.759823+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_values_tool_runtime_context
48,2026-05-28T17:14:56.762074+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_values_runtime_preprocessing
49,2026-05-28T17:14:56.764412+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_evolution_values_model_behavior
50,2026-05-28T17:14:56.771691+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurements_table
51,2026-05-28T17:14:56.775412+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_analysis_table
52,2026-05-28T17:14:56.778614+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_summary_table
53,2026-05-28T17:14:56.782257+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_table
54,2026-05-28T17:14:56.785006+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_summary_table
55,2026-05-28T17:14:56.788699+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_table
56,2026-05-28T17:14:56.791209+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_summary_table
57,2026-05-28T17:14:56.799972+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_events_table
58,2026-05-28T17:14:56.803312+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_table
59,2026-05-28T17:14:56.805960+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_summary_table
60,2026-05-28T17:14:56.809459+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_hint_alignment_table
61,2026-05-28T17:14:56.812525+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_hint_alignment_summary_table
62,2026-05-28T17:14:56.817364+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: run_summary_table
