step,when,where,what_it_means,code_snippet,runtime_signal,evidence_source,evidence_value,experiment_part,cache_control_path,evidence_metric,checked_true,failure_meaning
11,SGLang can refresh pinned prefix TTL,[repair_cache_pinning_sglang_source.py:90](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/runtime_instrumentation/repair_cache_pinning_sglang_source.py:90),"On a cache hit, pinned nodes can refresh their TTL.","""worker.pin_refreshed_cache_hit""",worker.pin_refreshed_cache_hit / worker_refreshes,experiments/reports/cache_pinning_doc_validation/cache_pinning_microbenchmark_20260707_020650__validate/cache_pinning_doc_worker.log,cache_hit_refresh=0; host_insert_refresh=0; worker_pin=applied,validate,worker radix cache,pin refresh,true,"Pin refresh was not observed. This can be okay for short validation, but matters for long-running reuse."
12,Validation parser summarizes router pin,[run_cache_pinning_doc_validation.py:163](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/cache_pinning/run_cache_pinning_doc_validation.py:163),The validation report converts router cache-pinning events into `router_pin` status.,def summarize_router_pin(frontend_log: Path),router_pin=spawned,summary/matrix CSV,router_pin=spawned,validate,report,router_pin,true,The validation report could not prove the router pin path.
13,Validation parser summarizes worker pin,[run_cache_pinning_doc_validation.py:199](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/cache_pinning/run_cache_pinning_doc_validation.py:199),The validation report converts worker pin events into `worker_pin` status.,def summarize_worker_pin(worker_log: Path),worker_pin=applied,summary/matrix CSV,worker_pin=applied,validate,report,worker_pin,true,The validation report could not prove the worker pin path.
14,Validation confirms cache reuse,[run_cache_pinning_doc_validation.py:235](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/cache_pinning/run_cache_pinning_doc_validation.py:235),The second validation turn should report cached prompt tokens.,"turn2_cached = row2.get(""cached_tokens"", """")",turn2_cached > 0 / cache_hit=hit,summary/matrix CSV,validate_turn2_cached=128; validate_cache_hit=True,validate,OpenAI response usage,turn2 cached tokens,true,The protected prefix was not reused on the second validation turn.
15,Validation final verdict is strong,[run_cache_pinning_doc_validation.py:250](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/cache_pinning/run_cache_pinning_doc_validation.py:250),"The validation result is strongest when router pin, worker pin, and cache reuse all happen.",pin_path_applied_and_cache_reused,result=pin_path_applied_and_cache_reused,summary/matrix CSV,validate_result=pin_path_applied_and_cache_reused,validate,summary,validation result,true,The validation did not prove the full pin path.
16,Wrapper launches retention sweep,[run_cache_pinning_microbenchmark_single_host.sh:304](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/agentbench/run_cache_pinning_microbenchmark_single_host.sh:304),The public wrapper runs the pressure sweep after validation in `all` mode or directly in `sweep` mode.,"RETENTION_SWEEP_ID
PROTECTED_CACHE_CONTROL_PROFILES",sweep_run_id / sweep rows,matrix CSV,sweep_rows=7,sweep,wrapper,sweep run id,true,The sweep phase did not run or did not emit rows.
17,Sweep compares control and protected arms,[compact_cache_pinning_retention_reports.py:96](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/cache_pinning/compact_cache_pinning_retention_reports.py:96),The sweep has a control arm with cache-control off and a protected arm with `ephemeral:1h`.,"""arm"": pick(row, ""arm"")
""cache_control"": pick(row, ""cache_control"", ""protected_cache"", ...)",matrix arm/cache_control rows,matrix CSV,control_cache=['off']; protected_cache=['ephemeral:1h'],sweep,control vs protected,arm/cache_control,true,The sweep did not include both control and protected cache-control rows.
18,Sweep report records request cache-control,[compact_cache_pinning_retention_reports.py:110](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/cache_pinning/compact_cache_pinning_retention_reports.py:110),The component report records whether request metadata showed cache-control on the protected arm.,"""req_cache_status"": pick(row, ""req_cache_status"", ...)",req_cache_status / req_cache_values,matrix CSV,protected_req_statuses=['full']; protected_req_values=[]; protected_cache=['ephemeral:1h'],sweep,request,request cache-control,true,The protected sweep arm did not show cache-control metadata at request level.
19,Microbenchmark report normalizes sweep rows,[build_cache_pinning_microbenchmark_report.py:269](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/cache_pinning/build_cache_pinning_microbenchmark_report.py:269),"The main matrix preserves replay latency, cached tokens, warm status, and reuse signal for each arm.",def matrix_rows_from_sweep(,microbenchmark_matrix.csv sweep rows,matrix CSV,sweep_rows=7,sweep,report,normalized matrix,true,The final matrix did not include normalized sweep evidence.
20,Sweep summary compares retention threshold,[build_cache_pinning_microbenchmark_report.py:381](/Users/oluwolejaiyeoba/Documents/GitHub/kv_cache_offloading/experiments/scripts/cache_pinning/build_cache_pinning_microbenchmark_report.py:381),The summary compares the deepest warm distractor count for control and protected arms.,"""control_last_warm""
""protected_last_warm""",protected_last_warm > control_last_warm,summary/matrix CSV,control_last_warm=60; protected_last_warm=240; control_first_cold=120; protected_first_cold=; threshold_gap=0,sweep,report,retention threshold,true,Protected cache-control did not survive deeper than control in this setup.
